2026-03-13T18:46:10.552Z - User ID: 5, Subjects: [{"id":2,"subject_name":"Maths"}]
2026-03-31T17:19:15.947Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:19:15.965Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:19:23.221Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:19:23.249Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:19:24.559Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:19:24.587Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:20:21.259Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:20:21.289Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:20:23.649Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T17:20:23.724Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T18:09:23.286Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T18:09:23.365Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T18:09:24.482Z - User ID: 5, All: 19, Filtered: 1
2026-03-31T18:09:24.635Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T12:53:25.277Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T12:53:25.553Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T12:57:06.716Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T12:57:06.780Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T13:01:56.895Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T13:01:56.933Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T13:23:50.595Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T13:23:50.634Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T13:30:25.170Z - User ID: 5, All: 19, Filtered: 1
2026-04-01T13:30:25.243Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:55:36.089Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:55:36.130Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:55:44.898Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:55:44.931Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:00.891Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:00.992Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:07.909Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:07.965Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:11.405Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:11.454Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:54.545Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:54.636Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:55.642Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:55.745Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:57.844Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T13:56:57.861Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:51:26.691Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:51:26.721Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:51:27.937Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:51:27.989Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:51:30.255Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:51:30.277Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:55:01.417Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:55:01.438Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:55:04.133Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:55:04.158Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:55:06.614Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T15:55:06.655Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T16:21:01.970Z - User ID: 5, All: 19, Filtered: 1
2026-04-06T16:21:02.014Z - User ID: 5, All: 19, Filtered: 1
